Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Vendor DUNS,Vendor Name,Vendor City,Vendor State,Vendor ZIP Code,Global DUNS Number,Global Vendor Name,Additional Reporting Code,Additional Reporting Description,
"SDA20010M0803",,"0","0","PO Purchase Order","$9,200.00","Sep 29, 2010",,"1900","STATE, DEPARTMENT OF","AMERICAN EMBASSY- COPENHAGEN","P","2310","PASSENGER MOTOR VEHICLES","485320","LIMOUSINE SERVICE","123456787","MISCELLANEOUS FOREIGN CONTRACTORS","ARLINGTON","VA","222023732","123456787","MISCELLANEOUS FOREIGN CONTRACTORS",,,
"SGE21010M1443",,"0","0","PO Purchase Order","$26,373.88","Sep 27, 2010",,"1900","STATE, DEPARTMENT OF","AMERICAN EMBASSY- BERLIN","P","7610","BOOKS AND PAMPHLETS","511130","BOOK PUBLISHERS","123456787","MISCELLANEOUS FOREIGN CONTRACTORS","ARLINGTON","VA","222023732","123456787","MISCELLANEOUS FOREIGN CONTRACTORS",,,
"SSF75005C0008",,"0","0","DCA Definitive Contract","$240,000.00","Apr 25, 2005",,"1900","STATE, DEPARTMENT OF","AMERICAN EMBASSY- PRETORIA","P","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","123456787","MISCELLANEOUS FOREIGN CONTRACTORS","ARLINGTON","VA","222023709","123456787","MISCELLANEOUS FOREIGN CONTRACTORS",,,
"GS11P09MAM0236",,"0","0","PO Purchase Order","$48,980.00","Jun 5, 2009",,"4740","PUBLIC BUILDINGS SERVICE","WPHBB - AGGREGATED REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","238220","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10MAM0314",,"0","0","PO Purchase Order","$80,564.00","May 20, 2010",,"4740","PUBLIC BUILDINGS SERVICE","WPHBB - AGGREGATED REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10MAM0314",,"PA02","0","PO Purchase Order","$0.00","Jan 25, 2013",,"4740","PUBLIC BUILDINGS SERVICE","WPHBC - EAST REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PA17","0","DCA Definitive Contract","$0.00","Oct 12, 2012",,"4740","PUBLIC BUILDINGS SERVICE","WPHBC - EAST REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"HDEC0318D0001",,"P00003",0,"IDC Indefinite Delivery Contract","$0.00","Jan 31, 2019",,"97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","DEFENSE COMMISSARY AGENCY","S","Y1AZ","CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","828532049","BLUE PACIFIC GENERAL CONTRACTORS, INC.","YORKTOWN","VA","236923437","828532049","BLUE PACIFIC GENERAL CONTRACTORS  INC.","NONE","NONE OF THE ABOVE",
"HSFLAR11D00001",,"P00027",0,"IDC Indefinite Delivery Contract","$0.00","Apr 29, 2013",,"7015","FEDERAL LAW ENFORCEMENT TRAINING CENTER","FLETC","S","S299","HOUSEKEEPING- OTHER","561210","FACILITIES SUPPORT SERVICES","146573097","AMERICAN FEDERAL CONTRACTORS, INC.","RESTON","VA","201915488","146573097","AMERICAN FEDERAL CONTRACTORS  INC.",,,
"HSFLAR11D00001",,"P00055",0,"IDC Indefinite Delivery Contract","-$65,855.88","Mar 30, 2015",,"7015","FEDERAL LAW ENFORCEMENT TRAINING CENTER","FLETC","S","S299","HOUSEKEEPING- OTHER","561210","FACILITIES SUPPORT SERVICES","146573097","AMERICAN FEDERAL CONTRACTORS, INC.","RESTON","VA","201915488","146573097","AMERICAN FEDERAL CONTRACTORS  INC.",,,
"GS11P09ZGC0379",,"PC01","0","DCA Definitive Contract","$26,438.69","Sep 25, 2009",,"4740","PUBLIC BUILDINGS SERVICE","WPHCB - EAST O&M CONTRACTS BRANCH","S","Z299","MAINT, REP/ALTER/ALL OTHER","236210","INDUSTRIAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P09ZGC0379",,"PCO3","0","DCA Definitive Contract","$78,575.00","Mar 16, 2010",,"4740","PUBLIC BUILDINGS SERVICE","WPHCB - EAST O&M CONTRACTS BRANCH","S","Z299","MAINT, REP/ALTER/ALL OTHER","236210","INDUSTRIAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PA10","0","DCA Definitive Contract","-$40,000.00","Sep 9, 2011",,"4740","PUBLIC BUILDINGS SERVICE","WPHBC - EAST REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PS17","0","DCA Definitive Contract","-$37,980.00","Jul 31, 2012",,"4740","PUBLIC BUILDINGS SERVICE","WPHBC - EAST REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PS19","0","DCA Definitive Contract","-$12,520.96","Dec 27, 2012",,"4740","PUBLIC BUILDINGS SERVICE","WPHBC - EAST REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10MAM0314",,"PC02","0","PO Purchase Order","$8,903.44","Apr 14, 2011",,"4740","PUBLIC BUILDINGS SERVICE","WPHBB - AGGREGATED REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PA28","0","DCA Definitive Contract","$0.00","Mar 17, 2015",,"4740","PUBLIC BUILDINGS SERVICE","WPHCA - THE AGGREGATED O&M CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PC01","0","DCA Definitive Contract","$0.00","Jul 7, 2011",,"4740","PUBLIC BUILDINGS SERVICE","WPHBC - EAST REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"HDEC0318D0001",,"P00002",0,"IDC Indefinite Delivery Contract","$0.00","Jan 25, 2019",,"97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","DEFENSE COMMISSARY AGENCY","S","Y1AZ","CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","828532049","BLUE PACIFIC GENERAL CONTRACTORS, INC.","YORKTOWN","VA","236923437","828532049","BLUE PACIFIC GENERAL CONTRACTORS  INC.","NONE","NONE OF THE ABOVE",
"N6175110M0061",,"0","0","PO Purchase Order","$78,098.00","Jan 27, 2010",,"1700","DEPT OF THE NAVY","US NAVMEDRSCHU 3 SIGONELLA","S","AD25","SERVICES (OPERATIONAL)","423850","SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS","123456787","MISCELLANEOUS FOREIGN CONTRACTORS","ARLINGTON","VA","222023732","123456787","MISCELLANEOUS FOREIGN CONTRACTORS",,,
"GS11P09ZGC0379",,"PA02","0","DCA Definitive Contract","$0.00","Feb 25, 2011",,"4740","PUBLIC BUILDINGS SERVICE","WPHCB - EAST O&M CONTRACTS BRANCH","S","Z299","MAINT, REP/ALTER/ALL OTHER","236210","INDUSTRIAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PC13","0","DCA Definitive Contract","$0.00","Oct 13, 2011",,"4740","PUBLIC BUILDINGS SERVICE","WPHBC - EAST REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PA23","0","DCA Definitive Contract","$0.00","Mar 5, 2013",,"4740","PUBLIC BUILDINGS SERVICE","WPHBB - AGGREGATED REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10MAM0299",,"0","0","PO Purchase Order","$13,875.00","May 4, 2010",,"4740","PUBLIC BUILDINGS SERVICE","WPHBB - AGGREGATED REPAIR&ALTERATIONS CONTRACTS BRANCH","S","C211","A/E SVCS. (INCL LANDSCAPING INTERIO","541310","ARCHITECTURAL SERVICES","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PA24","0","DCA Definitive Contract","$3,250.00","Apr 10, 2013",,"4740","PUBLIC BUILDINGS SERVICE","WPHBB - AGGREGATED REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PS02","0","DCA Definitive Contract","$210,119.00","Mar 7, 2011",,"4740","PUBLIC BUILDINGS SERVICE","WPHBC - EAST REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"GS11P10YAC0100",,"PS03","0","DCA Definitive Contract","$58,723.50","Mar 10, 2011",,"4740","PUBLIC BUILDINGS SERVICE","WPHBC - EAST REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
"SSF75005C0017",,"0","0","DCA Definitive Contract","$250,000.00","May 21, 2005",,"1900","STATE, DEPARTMENT OF","AMERICAN EMBASSY- PRETORIA","P","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP","813920","PROFESSIONAL ORGANIZATIONS","123456787","MISCELLANEOUS FOREIGN CONTRACTORS","ARLINGTON","VA","222023709","123456787","MISCELLANEOUS FOREIGN CONTRACTORS",,,
"W9123614C0015",,"0","0","DCA Definitive Contract","$4,204,851.05","Dec 6, 2013",,"2100","DEPT OF THE ARMY","W2SD ENDIST NORFOLK","S","Z2QA","REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE)","237990","OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION","828532049","BLUE PACIFIC GENERAL CONTRACTORS, INC.","YORKTOWN","VA","236923437","828532049","BLUE PACIFIC GENERAL CONTRACTORS  INC.",,,
"AID388S000900053",,"1","0","DCA Definitive Contract","$40,743.00","Jul 26, 2009",,"7200","AGENCY FOR INTERNATIONAL DEVELOPMENT","AGENCY FOR INTERNATIONAL DEVELOPMENT","S","R497","PERSONAL SERVICES CONTRACTS","812990","ALL OTHER PERSONAL SERVICES","123456787","MISCELLANEOUS FOREIGN CONTRACTORS","ARLINGTON","VA","222023732","123456787","MISCELLANEOUS FOREIGN CONTRACTORS",,,
"SKE50008M0983",,"0","0","PO Purchase Order","$30,000.00","May 6, 2008",,"1900","STATE, DEPARTMENT OF","AMERICAN EMBASSY- NAIROBI","S","R701","ADVERTISING SERVICES","511110","NEWSPAPER PUBLISHERS","123456787","MISCELLANEOUS FOREIGN CONTRACTORS","ARLINGTON","VA","222023732","123456787","MISCELLANEOUS FOREIGN CONTRACTORS",,,
"W91QF707P0078",,"0","0","PO Purchase Order","$4,970.00","Mar 20, 2007",,"2100","DEPT OF THE ARMY","W6QM MICC-JB MYER-HENDERSON","P","7220","FLOOR COVERINGS","238330","FLOORING CONTRACTORS","039923318","FLOOR AND CARPET AVENUE","FALLS CHURCH","VA","220412233","039923318","FLOOR & CARPET AVENUE",,,
"DTCG2703P3MN009","DTCG2703P3MN009","0","0","BPA Call Blanket Purchase Agreement","$2,900.00","Nov 15, 2002",,"6950","UNITED STATES COAST GUARD","DEPT OF TRANS/COAST GUARD","S","J020","MAINT-REP OF SHIP & MARINE EQ","235510","CARPENTRY CONTRACTORS","057934176","PETROCHEM RECOVERY SERVICES IN","NORFOLK","VA","235044317","057934176","PETROCHEM RECOVERY SERVICES INC",,,
"DTCG2703P3MN009",,"0",0,"BPA Blanket Purchase Agreement","$0.00","Nov 15, 2002",,"6950","UNITED STATES COAST GUARD","DEPT OF TRANS/COAST GUARD","S","J020","MAINT-REP OF SHIP & MARINE EQ","235510","CARPENTRY CONTRACTORS","057934176","PETROCHEM RECOVERY SERVICES IN","NORFOLK","VA","235044317","057934176","PETROCHEM RECOVERY SERVICES INC",,,
"140P4218C0010",,"0","0","DCA Definitive Contract","$2,727.00","Apr 10, 2018",,"1443","NATIONAL PARK SERVICE","NORTHEAST REGIONAL CONTRACTING","S","S201","HOUSEKEEPING- CUSTODIAL JANITORIAL","561720","JANITORIAL SERVICES","804130623","M & WR CLEANING CONTRACTORS INC","STERLING","VA","201644409","804130623","M & WR CLEANING CONTRACTORS INC","NONE","NONE OF THE ABOVE",
"N0024407P2827",,"0","0","PO Purchase Order","$13,981.00","Sep 30, 2007",,"1700","DEPT OF THE NAVY","NAVSUP FLT LOG CTR  SAN DIEGO","P","5640","WALLBOARD BLDG & THERMAL INSULATION","238310","DRYWALL AND INSULATION CONTRACTORS","783134203","WHISPER WALLS OF VIRGINIA LIMITED","CHESAPEAKE","VA","233231219","783134203","WHISPER WALLS OF VIRGINIA LTD",,,
"W15QKN19P1132",,"0","0","PO Purchase Order","$121,500.00","May 28, 2019",,"2100","DEPT OF THE ARMY","W6QK ACC-PICA","S","H173","QUALITY CONTROL- FOOD PREPARATION AND SERVING EQUIPMENT","722310","FOOD SERVICE CONTRACTORS","806756222","DREAMTOWN FOODS CORPORATION","ABINGDON","VA","242102438","806756222","DREAMTOWN FOODS CORPORATION","NONE","NONE OF THE ABOVE",
"AG3151P070404",,"0","0","PO Purchase Order","$10,498.50","Sep 25, 2007",,"12D2","FARM SERVICE AGENCY","ACQUISITION MANAGEMENT DIVISION","S","S214","CARPET LAYING AND CLEANING","238330","FLOORING CONTRACTORS","969288125","CARPET RESOURCES INCORPORATED","GREAT FALLS","VA","220661628","969288125","CARPET RESOURCES INC",,,
"AG3151P070404",,"1","0","PO Purchase Order","-$654.90","Sep 24, 2009",,"12D2","FARM SERVICE AGENCY","ACQUISITION MANAGEMENT DIVISION","S","S214","CARPET LAYING AND CLEANING","238330","FLOORING CONTRACTORS","969288125","CARPET RESOURCES INCORPORATED","GREAT FALLS","VA","220661628","969288125","CARPET RESOURCES INC",,,
"AG3151P070404",,"2","0","PO Purchase Order","$0.00","Oct 13, 2010",,"12D2","FARM SERVICE AGENCY","ACQUISITION MANAGEMENT DIVISION","S","S214","CARPET LAYING AND CLEANING","238330","FLOORING CONTRACTORS","969288125","CARPET RESOURCES INCORPORATED","GREAT FALLS","VA","220661628","969288125","CARPET RESOURCES INC",,,
"VA24612P1778",,"0","0","PO Purchase Order","$3,340.00","Feb 3, 2012",,"3600","VETERANS AFFAIRS, DEPARTMENT OF","246-NETWORK CONTRACTING OFFICE 6","S","S214","HOUSEKEEPING- CARPET LAYING/CLEANING","238330","FLOORING CONTRACTORS","023953946","WHITT CARPET & TILE SERVICE, INC.","SALEM","VA","241532048","023953946","WHITT CARPET & TILE SERVICE  INC.",,,
"0017","N6247001A0062","0","0","DO Delivery Order","$5,993.00","Jan 2, 2003",,"1700","DEPT OF THE NAVY","NAVAL FACILITIES ENGINEERING COM","S","Z199","MAINT-REP-ALT/MISC BLDGS","238330","FLOORING CONTRACTORS","602891020","QUALITY TECHNICAL SERVICES, IN","VIRGINIA BEACH","VA","23462","602891020","QUALITY TECHNICAL SERVICES  INC.",,,
"0501","N6247001A0062","0","0","DO Delivery Order","$1,151.00","Mar 25, 2003",,"1700","DEPT OF THE NAVY","NAVAL FACILITIES ENGINEERING COM","S","Z199","MAINT-REP-ALT/MISC BLDGS","238330","FLOORING CONTRACTORS","602891020","QUALITY TECHNICAL SERVICES, IN","VIRGINIA BEACH","VA","23462","602891020","QUALITY TECHNICAL SERVICES  INC.",,,
"TIRSE07P00575",,"0","0","PO Purchase Order","$3,000.00","Sep 29, 2007",,"2050","INTERNAL REVENUE SERVICE","DEPT OF TREAS/INTERNAL REVENUE SERVICE","P","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","163600229","T R SOLUTIONS INCORPORATED","RICHMOND","VA","232283031","163600229","T R SOLUTIONS INC",,,
"W91QV114C0004",,"0","0","DCA Definitive Contract","$15,010.00","Jan 7, 2014",,"2100","DEPT OF THE ARMY","W6QM MICC-FT BELVOIR","S","Z1JZ","MAINTENANCE OF MISCELLANEOUS BUILDINGS","238330","FLOORING CONTRACTORS","058036173","CREATIVE INTERIORS INC","FREDERICKSBURG","VA","224015101","058036173","CREATIVE INTERIORS INC",,,
"W91QV114C0004",,"P00001","0","DCA Definitive Contract","$0.00","Mar 11, 2014",,"2100","DEPT OF THE ARMY","W6QM MICC-FT BELVOIR","S","Z1JZ","MAINTENANCE OF MISCELLANEOUS BUILDINGS","238330","FLOORING CONTRACTORS","058036173","CREATIVE INTERIORS INC","FREDERICKSBURG","VA","224015101","058036173","CREATIVE INTERIORS INC",,,
"0003","N4008506A1157","0","0","DO Delivery Order","$6,250.00","Mar 10, 2008",,"1700","DEPT OF THE NAVY","NAVAL FAC ENGINEERING CMD MID LANT","S","S214","CARPET LAYING AND CLEANING","238330","FLOORING CONTRACTORS","126654958","YURON CORPORATION","HAMPTON","VA","23661","126654958","YURON CORPORATION",,,
"0103","N4008506A1157","0","0","DO Delivery Order","$15,491.30","Jan 21, 2010",,"1700","DEPT OF THE NAVY","NAVAL FAC ENGINEERING CMD MID LANT","S","Z199","MAINT-REP-ALT/MISC BLDGS","238330","FLOORING CONTRACTORS","126654958","YURON CORPORATION","HAMPTON","VA","23661","126654958","YURON CORPORATION",,,
"GS11P04ZGM0189",,"0","0","PO Purchase Order","$6,700.00","May 13, 2004",,"4740","PUBLIC BUILDINGS SERVICE","WPHCB - EAST O&M CONTRACTS BRANCH","P",,,"235310","ELECTRICAL CONTRACTORS","118634216","FIRST CONTRACTING SERVICES","CULPEPER","VA","227012549","118634216","FIRST CONTRACTING SERVICES",,,
"INPP4380050017",,"0","0","PO Purchase Order","$3,680.00","Jan 25, 2005",,"1443","NATIONAL PARK SERVICE","NER REGIONAL CONTRACTING","P","4510","PLUMBING FIXTURES AND ACCESSORIES","238220","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","154486930","GROVES REFRIGERATION INCORPORATED","COLONIAL BEACH","VA","224435725","154486930","GROVES REFRIGERATION, INC",,,
"N0017403M0269",,"0","0","PO Purchase Order","$5,100.00","Sep 16, 2003",,"1700","DEPT OF THE NAVY","NAVAL SURFACE WARFARE CENTER, IN","S","J099","MAINT-REP OF MISC EQ","238990","ALL OTHER SPECIALTY TRADE CONTRACTORS","020447830","SUNGUARD MID ATLANTIC","ARLINGTON","VA","22206","020447830","SUNGUARD MID ATLANTIC LLC",,,
