North American Industry Classification,Fiscal Year,Industry Total Obligation/De-Obligation
"REGULATION, LICENSING, AND INSPECTION OF MISCELLANEOUS COMMERCIAL SECTORS",2012,"$18,126,518.61"
PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,2012,"$17,756,885.71"
"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2012,"$16,746,705.16"
THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS,2012,"$16,460,689.04"
IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,2012,"$15,977,637.05"
GENERAL WAREHOUSING AND STORAGE,2012,"$15,347,193.66"
OFFICES OF LAWYERS,2012,"$14,526,178.20"
OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS,2012,"$14,397,274.06"
ALL OTHER PUBLISHERS,2012,"$13,628,254.28"
ARCHITECTURAL SERVICES,2012,"$13,251,925.98"
HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,2012,"$13,046,986.86"
SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2012,"$12,760,954.48"
OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2012,"$12,390,467.82"
NATURAL GAS DISTRIBUTION,2012,"$12,348,453.23"
COMPUTER TRAINING,2012,"$12,222,773.63"
BLOOD AND ORGAN BANKS,2012,"$12,004,366.83"
VETERINARY SERVICES,2012,"$12,000,164.15"
ALL OTHER INFORMATION SERVICES,2012,"$11,826,451.19"
"REGULATION AND ADMINISTRATION OF COMMUNICATIONS, ELECTRIC, GAS, AND OTHER UTILITIES",2012,"$11,717,049.14"
PERIODICAL PUBLISHERS,2012,"$11,692,137.82"
ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,2012,"$10,635,076.40"
COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,2012,"$10,132,574.51"
HUMAN RESOURCES CONSULTING SERVICES,2012,"$10,063,433.22"
PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,2012,"$10,060,318.23"
ALL OTHER SUPPORT SERVICES,2012,"$9,852,212.24"
INVESTIGATION SERVICES,2012,"$9,202,048.61"
INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,2012,"$9,063,420.19"
DIAGNOSTIC IMAGING CENTERS,2012,"$8,234,320.67"
GENERAL MEDICAL AND SURGICAL HOSPITALS,2012,"$8,226,582.80"
ROOFING CONTRACTORS,2012,"$7,505,126.08"
"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2012,"$7,494,454.15"
ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION,2012,"$7,423,202.85"
USED HOUSEHOLD AND OFFICE GOODS MOVING,2012,"$7,052,408.52"
OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,2012,"$6,979,674.00"
OPTICAL INSTRUMENT AND LENS MANUFACTURING,2012,"$6,710,325.09"
SOLID WASTE COLLECTION,2012,"$6,507,623.51"
COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,2012,"$6,295,246.84"
PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2012,"$6,159,937.90"
MOTION PICTURE AND VIDEO PRODUCTION,2012,"$5,916,848.15"
PARKING LOTS AND GARAGES,2012,"$5,860,054.91"
EMERGENCY AND OTHER RELIEF SERVICES,2012,"$5,517,297.47"
ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,2012,"$5,420,206.68"
PROFESSIONAL ORGANIZATIONS,2012,"$5,154,037.45"
WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,2012,"$5,129,879.27"
COURIERS AND EXPRESS DELIVERY SERVICES,2012,"$5,018,289.71"
CREDIT BUREAUS,2012,"$4,998,220.53"
SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),2012,"$4,918,705.07"
PAYROLL SERVICES,2012,"$4,832,435.15"
OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2012,"$4,713,454.38"
"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",2012,"$4,528,811.57"
CHILD AND YOUTH SERVICES,2012,"$4,246,506.18"
OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,2012,"$4,229,060.68"
OTHER BUILDING EQUIPMENT CONTRACTORS,2012,"$4,210,667.61"
ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,2012,"$4,205,654.47"
DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,2012,"$4,191,885.87"
ALL OTHER BUSINESS SUPPORT SERVICES,2012,"$4,171,064.63"
HAZARDOUS WASTE TREATMENT AND DISPOSAL,2012,"$4,168,602.69"
ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,2012,"$4,112,101.94"
OTHER INDIVIDUAL AND FAMILY SERVICES,2012,"$4,096,902.47"
BOOK PUBLISHERS,2012,"$3,948,182.33"
MORTGAGE AND NONMORTGAGE LOAN BROKERS,2012,"$3,694,679.31"
BUSINESS ASSOCIATIONS,2012,"$3,603,849.38"
"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",2012,"$3,587,907.63"
PACKAGING AND LABELING SERVICES,2012,"$3,549,348.08"
LANDSCAPING SERVICES,2012,"$3,493,252.39"
IRRADIATION APPARATUS MANUFACTURING,2012,"$3,482,612.50"
OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS,2012,"$3,439,204.54"
COMMERCIAL BANKING,2012,"$3,382,649.28"
ADMINISTRATION OF EDUCATION PROGRAMS,2012,"$3,285,925.80"
VOLUNTARY HEALTH ORGANIZATIONS,2012,"$3,255,577.93"
TEMPORARY SHELTERS,2012,"$3,163,539.00"
OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,2012,"$3,156,886.28"
INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,2012,"$3,082,279.31"
POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,2012,"$3,057,873.54"
GRAPHIC DESIGN SERVICES,2012,"$3,055,549.39"
DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED),2012,"$3,009,870.25"
DOCUMENT PREPARATION SERVICES,2012,"$2,967,295.74"
DENTAL LABORATORIES,2012,"$2,843,873.62"
OTHER SERVICES TO BUILDINGS AND DWELLINGS,2012,"$2,836,126.60"
OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,2012,"$2,788,924.10"
REMEDIATION SERVICES,2012,"$2,787,119.56"
AIR PURIFICATION EQUIPMENT MANUFACTURING,2012,"$2,746,253.62"
COMPUTER STORAGE DEVICE MANUFACTURING,2012,"$2,664,810.99"
NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2012,"$2,635,956.41"
ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,2012,"$2,582,578.74"
"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",2012,"$2,523,266.03"
COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,2012,"$2,402,727.85"
OFFICE SUPPLIES AND STATIONERY STORES,2012,"$2,328,105.72"
TRANSLATION AND INTERPRETATION SERVICES,2012,"$2,290,340.45"
EXTERMINATING AND PEST CONTROL SERVICES,2012,"$2,266,570.00"
NONWOVEN FABRIC MILLS,2012,"$2,127,660.00"
OFFICES OF DENTISTS,2012,"$2,004,626.82"
"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",2012,"$1,838,856.77"
SATELLITE TELECOMMUNICATIONS,2012,"$1,797,772.99"
COMMERCIAL LITHOGRAPHIC PRINTING,2012,"$1,794,768.99"
PRIVATE MAIL CENTERS,2012,"$1,792,066.29"
INDUSTRIAL GAS MANUFACTURING,2012,"$1,769,719.45"
ALL OTHER SPECIALTY TRADE CONTRACTORS,2012,"$1,769,698.60"
NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING,2012,"$1,738,510.39"
SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES,2012,"$1,636,910.90"
FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2012,"$1,603,792.20"
ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,2012,"$1,570,554.16"
RESIDENTIAL MENTAL HEALTH AND SUBSTANCE ABUSE FACILITIES,2012,"$1,567,518.00"
POSTAL SERVICE,2012,"$1,534,570.51"
KIDNEY DIALYSIS CENTERS,2012,"$1,521,280.05"
OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,2012,"$1,511,403.63"
OTHER GENERAL GOVERNMENT SUPPORT,2012,"$1,450,850.45"
ALL OTHER MISCELLANEOUS MANUFACTURING,2012,"$1,449,504.17"
PAINTING AND WALL COVERING CONTRACTORS,2012,"$1,437,365.00"
OTHER METAL CONTAINER MANUFACTURING,2012,"$1,404,903.72"
ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2012,"$1,320,507.62"
POLISH AND OTHER SANITATION GOOD MANUFACTURING,2012,"$1,310,164.25"
FITNESS AND RECREATIONAL SPORTS CENTERS,2012,"$1,305,104.00"
AMBULANCE SERVICES,2012,"$1,277,880.68"
TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS,2012,"$1,257,941.00"
LIQUEFIED PETROLEUM GAS (BOTTLED GAS) DEALERS,2012,"$1,257,620.89"
AUDIO AND VIDEO EQUIPMENT MANUFACTURING,2012,"$1,233,949.50"
CAMERA AND PHOTOGRAPHIC SUPPLIES STORES,2012,"$1,218,514.99"
MONETARY AUTHORITIES-CENTRAL BANK,2012,"$1,190,140.44"
OTHER SPECIALIZED DESIGN SERVICES,2012,"$1,183,628.00"
HARDWARE STORES,2012,"$1,182,340.09"
FIBER OPTIC CABLE MANUFACTURING,2012,"$1,156,791.40"
NATIONAL SECURITY,2012,"$1,114,179.87"
WOOD OFFICE FURNITURE MANUFACTURING,2012,"$1,103,307.00"
INDUSTRIAL BUILDING CONSTRUCTION,2012,"$1,102,141.17"
"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",2012,"$1,066,532.50"
ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,2012,"$1,066,216.56"
PUBLIC FINANCE ACTIVITIES,2012,"$1,063,055.79"
"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",2012,"$1,046,246.81"
LABORATORY APPARATUS AND FURNITURE MANUFACTURING,2012,"$1,037,829.60"
OTHER SOUND RECORDING INDUSTRIES,2012,"$1,031,916.48"
MUSEUMS,2012,"$1,031,016.08"
PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,2012,"$1,026,099.08"
COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE,2012,"$1,013,216.51"
OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS,2012,"$992,242.45"
ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,2012,"$986,129.92"
ELEMENTARY AND SECONDARY SCHOOLS,2012,"$979,920.00"
OTHER ANIMAL FOOD MANUFACTURING,2012,"$948,193.29"
CARBON PAPER AND INKED RIBBON MANUFACTURING,2012,"$934,244.32"
OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,2012,"$927,510.21"
INDUSTRIAL LAUNDERERS,2012,"$915,042.65"
OFFICE EQUIPMENT MERCHANT WHOLESALERS,2012,"$894,059.26"
MIXED MODE TRANSIT SYSTEMS,2012,"$885,255.88"
SITE PREPARATION CONTRACTORS,2012,"$868,885.36"
FURNITURE MERCHANT WHOLESALERS,2012,"$861,305.61"
OFFICES OF OPTOMETRISTS,2012,"$850,231.35"
LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,2012,"$836,958.70"
ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,2012,"$814,827.08"
ALL OTHER PLASTICS PRODUCT MANUFACTURING,2012,"$795,752.06"
OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION,2012,"$788,403.79"
VOCATIONAL REHABILITATION SERVICES,2012,"$764,784.65"
OFFICE MACHINERY MANUFACTURING,2012,"$744,068.15"
DIRECT MAIL ADVERTISING,2012,"$742,120.91"
CORRUGATED AND SOLID FIBER BOX MANUFACTURING,2012,"$740,722.03"
CONSTRUCTION MACHINERY MANUFACTURING,2012,"$729,506.53"
INTERIOR DESIGN SERVICES,2012,"$720,370.28"
PHARMACIES AND DRUG STORES,2012,"$712,043.99"
AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,2012,"$706,027.84"
HAZARDOUS WASTE COLLECTION,2012,"$705,834.87"
STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS,2012,"$700,976.23"
TELECOMMUNICATIONS RESELLERS,2012,"$676,402.40"
CANVAS AND RELATED PRODUCT MILLS,2012,"$671,602.68"
GENERAL LINE GROCERY MERCHANT WHOLESALERS,2012,"$669,511.25"
TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING,2012,"$669,270.77"
OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),2012,"$632,759.70"
WATER SUPPLY AND IRRIGATION SYSTEMS,2012,"$626,445.84"
ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING,2012,"$619,260.43"
SPORTING AND ATHLETIC GOODS MANUFACTURING,2012,"$613,786.00"
BOOKS PRINTING,2012,"$602,906.68"
COMMERCIAL PHOTOGRAPHY,2012,"$571,218.14"
MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,2012,"$546,271.28"
INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2012,"$540,403.02"
"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",2012,"$535,003.22"
ALL OTHER PERSONAL SERVICES,2012,"$531,777.59"
DIRECTORY AND MAILING LIST PUBLISHERS,2012,"$528,993.14"
NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,2012,"$526,623.75"
OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION,2012,"$525,075.96"
PLASTICS MATERIAL AND RESIN MANUFACTURING,2012,"$522,078.65"
CLAIMS ADJUSTING,2012,"$521,230.00"
WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE),2012,"$518,157.52"
LESSORS OF OTHER REAL ESTATE PROPERTY,2012,"$508,214.35"
FREIGHT TRANSPORTATION ARRANGEMENT,2012,"$508,004.00"
OTHER FUEL DEALERS,2012,"$501,974.88"
"COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",2012,"$501,055.80"
OTHER SOCIAL ADVOCACY ORGANIZATIONS,2012,"$491,104.05"
SANITARY PAPER PRODUCT MANUFACTURING,2012,"$481,138.22"
TELEPHONE APPARATUS MANUFACTURING,2012,"$473,458.22"
OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS),2012,"$461,534.66"
APPLIANCE REPAIR AND MAINTENANCE,2012,"$458,466.91"
LOCAL MESSENGERS AND LOCAL DELIVERY,2012,"$455,834.21"
PLASTICS AND RUBBER INDUSTRY MACHINERY MANUFACTURING,2012,"$453,070.30"
LINEN SUPPLY,2012,"$446,580.05"
PETROLEUM BULK STATIONS AND TERMINALS,2012,"$443,130.64"
OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS,2012,"$422,954.67"
AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS,2012,"$417,894.74"
RESIDENTIAL INTELLECTUAL AND DEVELOPMENTAL DISABILITY FACILITIES,2012,"$415,256.00"
ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,2012,"$413,995.81"
ICE MANUFACTURING,2012,"$405,364.32"
OTHER GRANTMAKING AND GIVING SERVICES,2012,"$396,249.48"
BUILDING INSPECTION SERVICES,2012,"$385,689.14"
RESILIENT FLOOR COVERING MANUFACTURING,2012,"$370,758.00"
OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,2012,"$367,209.85"
ELECTRONIC CAPACITOR MANUFACTURING,2012,"$366,710.00"
OTHER BUILDING FINISHING CONTRACTORS,2012,"$363,778.78"
MEN'S AND BOYS' CUT AND SEW WORK CLOTHING MANUFACTURING,2012,"$362,262.77"
COURT REPORTING AND STENOTYPE SERVICES,2012,"$356,132.06"
OFFICES OF PODIATRISTS,2012,"$351,535.25"
COMMUNITY FOOD SERVICES,2012,"$347,931.43"
SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING,2012,"$343,138.02"
ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,2012,"$339,813.68"
OPHTHALMIC GOODS MANUFACTURING,2012,"$337,549.92"
COMMERCIAL SCREEN PRINTING,2012,"$335,452.64"
TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES,2012,"$331,407.40"
HOME CENTERS,2012,"$331,234.53"
"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT WHOLESALERS",2012,"$323,728.14"
INSTITUTIONAL FURNITURE MANUFACTURING,2012,"$321,527.26"
RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,2012,"$319,122.65"
"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",2012,"$316,068.30"
SOFTWARE REPRODUCING,2012,"$310,143.16"
RADIO STATIONS,2012,"$309,400.00"
MACHINE SHOPS,2012,"$308,851.66"
AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS,2012,"$292,339.99"
SEWAGE TREATMENT FACILITIES,2012,"$288,768.76"
OTHER ELECTRONIC COMPONENT MANUFACTURING,2012,"$288,477.00"
SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,2012,"$284,269.75"
"COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING",2012,"$281,965.30"
TOILET PREPARATION MANUFACTURING,2012,"$281,953.13"
"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",2012,"$275,831.83"
PAPER (EXCEPT NEWSPRINT) MILLS,2012,"$262,185.30"
BROADWOVEN FABRIC MILLS,2012,"$261,609.89"
OTHER SERVICES RELATED TO ADVERTISING,2012,"$258,601.56"
SOAP AND OTHER DETERGENT MANUFACTURING,2012,"$258,165.83"
"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",2012,"$257,518.27"
"GENERAL FREIGHT TRUCKING, LOCAL",2012,"$256,539.51"
OUTDOOR ADVERTISING,2012,"$253,946.51"
QUICK PRINTING,2012,"$253,842.27"
POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,2012,"$251,809.88"
PLASTICS PIPE AND PIPE FITTING MANUFACTURING,2012,"$247,777.15"
CONSUMER ELECTRONICS AND APPLIANCES RENTAL,2012,"$247,003.73"
OTHER FOOTWEAR MANUFACTURING,2012,"$243,841.11"
CIVIC AND SOCIAL ORGANIZATIONS,2012,"$242,246.46"
"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",2012,"$239,495.35"
ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING,2012,"$235,098.43"
CHICKEN EGG PRODUCTION,2012,"$234,835.76"
ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,2012,"$233,957.58"
DAIRY CATTLE AND MILK PRODUCTION,2012,"$230,193.70"
SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES,2012,"$227,366.75"
OTHER COMMERCIAL PRINTING,2012,"$227,010.82"
CURTAIN AND DRAPERY MILLS,2012,"$223,750.61"
SEPTIC TANK AND RELATED SERVICES,2012,"$219,536.00"
PACKAGING MACHINERY MANUFACTURING,2012,"$215,924.74"
HARDWARE MANUFACTURING,2012,"$214,397.25"
"RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",2012,"$214,210.31"
MEDIA REPRESENTATIVES,2012,"$208,566.56"
CONSUMER ELECTRONICS REPAIR AND MAINTENANCE,2012,"$205,302.09"
"PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING",2012,"$205,138.29"
LOCKSMITHS,2012,"$203,796.75"
SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS,2012,"$201,670.77"
MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING,2012,"$197,815.00"
PERISHABLE PREPARED FOOD MANUFACTURING,2012,"$190,132.63"
OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS,2012,"$188,798.97"
FOOD SERVICE CONTRACTORS,2012,"$188,336.32"
SPECIAL NEEDS TRANSPORTATION,2012,"$185,874.62"
SCHOOL AND EMPLOYEE BUS TRANSPORTATION,2012,"$185,636.76"
FAMILY PLANNING CENTERS,2012,"$184,127.00"
CABLE AND OTHER SUBSCRIPTION PROGRAMMING,2012,"$178,525.63"
SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2012,"$175,236.79"
HMO MEDICAL CENTERS,2012,"$172,864.40"
